Name,Province,ID,Lat,Lon,Elevation
DANVILLE,QC,7021954,45.82,-71.98,190
DRUMMONDVILLE,QC,7022160,45.88,-72.48,82
FORTIERVILLE,QC,7022494,46.48,-72.05,53
GEORGEVILLE,QC,7022720,45.13,-72.23,266
GRANBY,QC,7022800,45.38,-72.72,175
ISLAND BROOK,QC,7023312,45.38,-71.47,345
LAC MEGANTIC 2,QC,7023677,45.6,-70.87,426
LAUZON,QC,7024254,46.82,-71.1,69
LENNOXVILLE,QC,7024280,45.37,-71.82,181
LINGWICK,QC,7024320,45.63,-71.37,266
MAPLE LEAF EAST,QC,7024624,45.33,-71.4,444
MONT MEGANTIC,QC,7025212,45.45,-71.15,1111
MONTREAL JAR BOT,QC,7025257,45.57,-73.55,45
MONTREAL JEAN BREBEUF,QC,7025260,45.5,-73.62,132
MONTREAL LAFONTAINE,QC,7025267,45.52,-73.57,41
MONTREAL MCGILL,QC,7025280,45.5,-73.58,56
NICOLET,QC,7025440,46.2,-72.62,30
ORMSTOWN,QC,7025745,45.12,-74.05,45
STE ANNE DE BELLEVUE,QC,7026839,45.43,-73.93,39
STE CLOTHILDE CDA,QC,7027040,45.17,-73.68,56
STE DOROTHEE,QC,7027110,45.52,-73.78,23
STE EDWIDGE,QC,7027120,45.2,-71.68,381
ST EPHREM,QC,7027200,46.07,-70.97,312
ST FERDINAND,QC,7027248,46.1,-71.58,297
ST FLAVIEN,QC,7027259,46.48,-71.57,137
ST GEORGES,QC,7027283,46.15,-70.7,167
ST GUILLAUME,QC,7027302,45.88,-72.77,43
MONTREAL ST-HUBERT A,QC,7027320,45.52,-73.42,27
ST ISIDORE D'AUCKLAND,QC,7027372,45.27,-71.52,393
STE MADELEINE,QC,7027517,45.62,-73.13,30
ST PIERRE DE BROUGHTON,QC,7027656,46.25,-71.22,365
ST SEBASTIEN,QC,7027725,45.77,-70.95,442
ST THEOPHILE,QC,7027750,45.93,-70.48,395
ST ZACHARIE,QC,7027785,46.12,-70.38,480
SAWYERVILLE NORD,QC,7027802,45.37,-71.53,345
SHERBROOKE,QC,7028120,45.4,-71.9,181
SHERBROOKE A,QC,7028124,45.43,-71.68,241
THETFORD MINES,QC,7028441,46.1,-71.35,381
VALLEE JONCTION,QC,7028676,46.38,-70.93,152
VALLEYFIELD,QC,7028680,45.28,-74.1,45
BEAUCEVILLE,QC,7028754,46.2,-70.78,229
WEST DITTON,QC,7028906,45.4,-71.3,512
